id,fecha,tema1,tema2,tema3,tema4,dificultad1,dificultad2,dificultad3,descripcion,historial
2200029,22-jul-23,Paridad,,,,4,,,problems.ru  58164,"Prueba 23/09/2022, Hoja 14/10/22"
2200028,23-jul-22,Combinatoria,Paridad,Coloración ,,4,,,problems.ru 66819,"Prueba 30/09/22, Hoja 14/10/22"
2200027,23-jul-22,Combinatoria,Coloración ,,,4,,,problems.ru 	58196,"Prueba 23/09/2022, Hoja 14/10/22"
2200026,23-jul-22,Combinatoria,Coloración,,,3,,,problems.ru  35295,Hoja de registro noviembre-diciembre  2022
2200025,22-jul-22,Combinatoria,Coloración,,,3,,,problems.ru 	35295,"Prueba 30/09/22, Hoja 14/10/22"
2200025,22-jul-22,Combinatoria,Coloración,Grafos,,3,,,problems.ru   31367,Prueba 07/10/2022
2200024,22-jul-22,Combinatoria,Coloración,Grafos,,3,,,problems.ru  103736,Prueba 07/10/2022
2200023,23-jul-22,Combinatoria ,Coloración,,,3,,,problems.ru 35254,Hoja 14/10/22
2200022,21-jul-22,Lógica,Pesajes,,,3,,,problems.ru 32819 	,"Prueba 23/09/2022, Hoja 14/10/22"
2200021,21-jul-22,Lógica,Pesas,,,3,,,problems.ru 109482,"Prueba 07/10/2022, Hoja 14/10/22"
2200020,21-jul-22,Lógica,Rompecabezas,,,3,,,problems.ru 108736,"Prueba 23/09/2022, "
2200019,21-jul-22,Lógica,,,,3,,,problems.ru 	104879,Prueba 30/09/22
2200018,21-jul-07,Lógica,Inducción,,,3,,,problems.ru  35714,"Prueba 07/10/2022, Hoja 14/10/22"
2200017,24-jun-22,Iteraciones,,,,6,,,Problems.ru ,"Hoja de registro septiembre-octubre  2022, Hoja 14/10/22"
2200016,24-jun-22,Planimetría,,,,4,,,Problems.ru ,"Hoja de registro septiembre-octubre  2022, Hoja 14/10/22"
2200015,17-jun-22,Prueba por contradiccón,,,,3,,,Problems.ru ,"Hoja de registro septiembre-octubre  2022, Hoja 14/10/22"
2200014,17-jun-22,Principio de palomar,,,,5,,,Problems.ru ,"Hoja de registro septiembre-octubre  2022, Hoja 14/10/22"
2200013,17-jun-22,El principio de palomar,Congruencias,,,4,,,Problems.ru ,"Hoja de registro septiembre-octubre  2022, Hoja 14/10/22"
2200012,13-jun-22,Combinatoria,,,,4,,,Problems.ru ,"Hoja de registro septiembre-octubre  2022, Hoja 14/10/22"
220011,10-jun-22,Planimetría,,,,5,,,Problems.ru ,Hoja de registro noviembre-diciembre  2022
220010,10-jun-22,Planimetría,,,,2,,,Problems.ru ,
220009,10-jun-22,Planimetría,,,,2,,,Problems.ru ,
220008,10-jun-22,Planimetría,,,,1,,,Problems.ru ,
220007,9-jun-22,Grupos de simetria,Combinatoria geometrica,,,6,,,Problems.ru  Se puede usar para introducir grupos.,"Hoja de registro septiembre-octubre  2022, Hoja 14/10/22"
220006,9-jun-22,El sistema ternario,Problemas con balanzas,,,5,,,Problems.ru ,"Hoja de registro septiembre-octubre  2022, Hoja 14/10/22"
220005,6-jun-22,Estrategias de juegos,El sistema binario,Sucesiones ,,8,,,Problems.ru  Requiere conocimietos de logaritmo y límites.,Hoja de registro noviembre-diciembre  2022
220004,6-jun-22,Progresión aritmética,Extremos,,,3,,,Problems.ru ,Hoja de registro septiembre-octubre  2022
220003,6-jun-22,Lógica,,,,3,,,Problems.ru ,Hoja de registro noviembre-diciembre  2022
220002,6-jun-22,Lógica,,,,2,,,Problems.ru ,
220001,6-jun-22,Lógica,,,,2,,,Problems.ru ,Hoja de registro septiembre-octubre  2022
